Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20
Data,0,workout_step,duration_distance,2462.3004,,target_value,0,,custom_target_value_low,55,,custom_target_value_high,61,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2478.393867,,target_value,0,,custom_target_value_low,66,,custom_target_value_high,73,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2220.8984,,target_value,0,,custom_target_value_low,57,,custom_target_value_high,63,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2832.450133,,target_value,0,,custom_target_value_low,61,,custom_target_value_high,68,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2076.0572,,target_value,0,,custom_target_value_low,44,,custom_target_value_high,49,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,3444.001867,,target_value,0,,custom_target_value_low,64,,custom_target_value_high,70,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,3347.441067,,target_value,0,,custom_target_value_low,54,,custom_target_value_high,60,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2140.431067,,target_value,0,,custom_target_value_low,64,,custom_target_value_high,71,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2961.197867,,target_value,0,,custom_target_value_low,53,,custom_target_value_high,59,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,3331.3476,,target_value,0,,custom_target_value_low,64,,custom_target_value_high,71,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
